"PJahr","Tnr","Enr","Bnr","PArt","AJahr","Bs","Ba","Kh","Kst","Bhd","D03","Hoe","StHoe","Balter","N_ha","VolR","Biomasse","C","G","Stf","StfM","Alkl5","BhdSt5","Bl","BID","Volumen"
2012,23051,4,1,0,0,1,110,0,3,332,264,131,47,39,61.792866,0.56479,27783.3552499124,224.810379,0.08657,35.305122,161.830978,8,6,4,222709,34.89999278814
2012,23268,3,2,0,0,1,100,0,0,573,449,256,125,87,15.511752,3.242804,35652.9477601375,1149.223755,0.25787,78.690887,112.989525,18,11,4,223910,50.301571432608
2012,23268,3,3,0,0,1,100,0,3,586,457,239,85,87,14.83115,3.174237,33595.0929975044,1132.585571,0.269703,82.240967,118.086967,18,11,4,223911,47.07758508255
2012,23268,3,4,0,0,1,100,0,3,437,340,229,133,87,26.669031,1.623531,31612.6203121291,592.684082,0.149987,46.326118,66.518074,18,8,4,223912,43.297998568461
2012,23268,4,6,0,0,1,100,0,0,572,445,232,117,93,18.058344,2.921818,37855.0240482052,1048.131104,0.25697,78.421097,73.369804,19,11,4,223918,52.763194549392
2012,23475,1,2,0,0,3,10,0,0,620,457,295,0,132,19.268049,3.515423,33931.1448297971,880.502869,0.301908,NA,NA,27,12,4,224814,67.735342619727
2012,23475,3,4,0,0,1,100,0,0,1003,812,368,22,192,5.062537,16.137718,51711.2841865,5107.25,0.790119,238.365845,247.396881,37,18,4,224828,81.697794470566
2012,23475,3,7,0,0,1,100,0,2,1001,810,368,0,192,5.082787,16.055372,51694.9815481473,5085.298828,0.786972,237.421509,246.416779,37,18,4,224831,81.606036081764
2012,23475,3,8,0,0,1,100,0,0,1025,830,369,198,192,4.847551,16.986427,51578.6148595923,5320.069336,0.825161,248.87825,258.307587,37,18,4,224832,82.342571190277
2012,23475,3,9,0,0,2,100,0,0,10,0,15,0,8,4024.893066,0,1300.50332302059,0.161558,7.9e-05,NA,NA,4,0,4,475164,0
2012,23475,3,10,0,0,2,100,0,0,25,0,24,0,8,1039.379028,0,1686.00686331061,0.811065,0.000491,NA,NA,4,0,4,475165,0
2012,23475,4,5,0,0,1,100,0,0,1159,920,304,187,192,3.791431,18.375826,40724.4490503183,5370.59082,1.055013,317.833862,487.036865,37,18,4,224836,69.670676347006
2012,23475,4,7,0,0,2,100,0,0,15,0,17,0,8,1039.379028,0,643.934804249064,0.309769,0.000177,NA,NA,4,0,4,475170,0
