"PJahr","Tnr","Enr","Bnr","PArt","AJahr","Bs","Ba","Kh","Kst","Bhd","D03","Hoe","StHoe","Balter","N_ha","VolR","Biomasse","C","G","Stf","StfM","Alkl5","BhdSt5","Bl","BID","Volumen"
2012,16861,1,6,0,0,1,100,0,0,25,0,24,0,4,2078.758057,0,3372.01372824335,0.811065,0.000491,1.477262,0.691656,4,0,5,463365,0
2012,16861,1,7,0,0,1,100,0,0,65,0,71,0,16,3118.137207,0,38584.0511871597,6.187036,0.003318,2.325495,1.0888,4,1,5,463366,0
2012,16861,3,2,0,0,1,10,0,0,216,195,190,0,54,109.15976,0.383889,20153.5757161789,92.312294,0.036644,9.995506,8.220651,11,4,5,174940,41.90523110664
2012,16861,3,4,0,0,1,10,0,0,316,251,236,0,54,51.003021,0.845167,20337.1962424456,199.372467,0.078427,18.143248,14.921635,11,6,5,174941,43.106070249507
2012,16861,3,5,0,0,1,10,0,0,330,261,240,0,54,46.767292,0.930285,20602.1367554717,220.262238,0.08553,19.528364,16.060802,11,6,5,174942,43.50691023822
2012,16861,3,6,0,0,1,10,0,0,441,337,261,0,54,26.187433,1.697357,21843.3943646321,417.058716,0.152745,32.635349,26.840441,11,8,5,174943,44.449422714581
2012,16861,3,7,0,0,1,10,0,0,275,221,224,0,54,67.344902,0.619852,19495.471557582,144.743484,0.059396,14.432196,11.869537,11,5,5,174944,41.743872194504
2012,16861,3,9,0,0,1,10,0,0,354,306,245,0,54,40.640923,1.242982,24176.5146220818,297.440521,0.098423,22.042521,18.128532,11,7,5,174945,50.515935752386
2012,16861,3,10,0,0,1,10,0,0,202,167,194,0,54,124.81517,0.301339,17798.3792579154,71.298943,0.032047,9.099256,7.483542,11,4,5,174946,37.61167851263
2012,16861,3,11,0,0,1,10,0,0,300,239,232,0,54,56.588421,0.753118,20000.4804028685,176.718842,0.070686,16.63377,13.680188,11,6,5,174947,42.617758446678
2012,16861,3,12,0,0,1,10,0,0,429,329,259,0,54,27.672956,1.604537,21744.82578329,392.889465,0.144546,31.036428,25.525433,11,8,5,174948,44.402281801372
2012,16861,3,13,0,0,1,10,0,0,354,278,246,0,54,40.640923,1.083244,21002.3280784189,258.388916,0.098423,22.042521,18.128532,11,7,5,174949,44.024035994212
2012,16861,3,15,0,0,1,10,0,0,369,288,249,0,54,37.403946,1.178855,21146.7970981405,282.681366,0.106941,23.703463,19.494549,11,7,5,174950,44.09382876183
2012,16861,3,16,0,0,1,10,0,0,329,260,240,0,54,47.052025,0.923686,20564.2865563158,218.527115,0.085012,19.427433,15.977794,11,6,5,174951,43.46129676415
