"PJahr","Tnr","Enr","Bnr","PArt","AJahr","Bs","Ba","Kh","Kst","Bhd","D03","Hoe","StHoe","Balter","N_ha","VolR","Biomasse","C","G","Stf","StfM","Alkl5","BhdSt5","Bl","BID","Volumen"
2012,24240,2,3,0,0,1,110,0,3,617,500,261,149,70,13.378265,4.060074,34287.2324540629,1281.452881,0.298993,119.21228,99.456177,14,12,2,227962,54.31674589161
2012,24240,2,4,0,0,1,110,0,0,445,359,248,117,70,25.718763,1.924833,31657.4363477129,615.454102,0.155529,62.543884,52.178986,14,8,2,227963,49.504323741579
2012,24240,3,7,0,0,1,110,0,2,495,399,218,47,70,20.785463,2.131661,29864.2193407224,718.391968,0.192443,77.124847,95.009933,14,9,2,227971,44.307560844043
2012,24240,4,5,0,0,1,110,0,0,545,440,234,74,75,30.607716,2.800103,56313.179611039,919.91803,0.233283,93.256966,46.831642,15,10,2,227979,85.704757394748
2012,24240,4,6,0,0,1,110,0,0,562,454,234,93,75,25.58976,2.991867,50318.7581897011,983.181519,0.248064,99.095222,49.763493,15,11,2,227980,76.56115848192
2012,24240,4,7,0,0,1,110,0,0,282,225,205,64,75,95.157646,0.610241,38610.3513205644,202.875717,0.062458,25.780966,12.946647,15,5,2,227981,58.069097052686
2012,24240,4,8,0,0,1,110,0,0,571,462,236,97,75,21.169207,3.126351,43345.954024159,1023.797302,0.256073,102.258682,51.352108,15,11,2,227982,66.182371473657
2012,24240,4,9,0,0,1,110,0,2,448,361,227,66,75,27.425024,1.792793,32549.3455526863,593.424194,0.157633,63.375004,31.825565,15,8,2,227983,49.167391052032
2012,24240,4,10,0,0,1,110,0,0,386,310,221,27,75,47.496738,1.272802,40180.2429676769,422.978973,0.117021,47.333477,23.769855,15,7,2,227984,60.453943119876
2012,24355,1,1,0,0,1,20,0,0,306,233,272,0,64,54.391029,0.876475,21326.0555281024,196.043869,0.073542,23.06251,23.269827,13,6,2,228400,47.672377142775
2012,24355,1,3,0,0,1,20,0,0,371,280,291,0,64,37.001755,1.354348,22916.6182473904,309.669342,0.108103,33.430969,33.731491,13,7,2,228401,50.11325288074
2012,24355,1,6,0,0,1,20,0,0,401,301,313,0,64,31.672428,1.681939,24124.8617394156,380.849579,0.126293,38.887928,39.237503,13,8,2,228402,53.271091877892
2012,24355,1,7,0,0,1,20,0,0,425,320,304,0,64,28.196306,1.84189,24013.0903967656,425.819794,0.141863,43.558861,43.950424,13,8,2,228403,51.93449405834
2012,24355,1,8,0,0,1,20,0,0,448,337,296,0,64,25.375467,1.988199,23736.6290806039,467.708221,0.157633,48.289883,48.723976,13,8,2,228404,50.451478113933
2012,24355,1,9,0,0,1,20,0,0,422,317,303,0,64,28.598629,1.804315,23853.3512067852,417.036621,0.139867,42.960148,43.346333,13,8,2,228405,51.600935284135
2012,24355,1,10,0,0,1,20,0,0,274,209,260,0,64,67.837372,0.674521,20205.0325102953,148.922577,0.058965,18.689405,18.85741,13,5,2,228406,45.757731998812
2012,24355,1,12,0,0,1,20,0,0,367,278,290,0,64,37.812725,1.328254,22950.1200090725,303.470856,0.105785,32.735424,33.029694,13,7,2,228408,50.22490323215
2012,24355,1,13,0,0,2,100,0,0,25,0,24,0,8,3118.137207,0,5058.0207894537,0.811065,0.000491,NA,NA,4,0,2,476364,0
2012,24355,3,1,0,0,1,10,0,0,391,307,301,0,95,34.601887,1.610055,25227.316266553,364.536713,0.120073,26.264185,20.319387,19,7,2,228409,55.710941173785
2012,24355,3,2,0,0,1,10,0,0,364,288,294,0,95,38.607956,1.382995,23970.0760672998,310.42923,0.104062,23.142159,17.904018,19,7,2,228410,53.39461010822
2012,24355,3,3,0,0,1,20,0,0,385,290,318,0,95,42.020435,1.58407,29749.0291582852,353.98288,0.116416,35.924774,27.793339,19,7,2,228411,66.56331047045
2012,24355,3,4,0,0,1,20,0,0,511,378,365,0,95,32.329449,3.075556,44195.8603933435,683.523254,0.205084,62.525318,48.372952,19,10,2,228412,99.431030848644
2012,24355,3,5,0,0,1,20,0,0,379,285,316,0,95,56.116158,1.522496,38134.7003668176,339.7836,0.112816,34.844696,26.957731,19,7,2,228413,85.436626090368
2012,24355,3,6,0,0,1,10,0,0,537,408,330,0,95,28.288122,3.111546,41314.6778547038,730.247803,0.226485,47.014572,36.373001,19,10,2,228414,88.019792856612
2012,24355,3,8,0,0,1,10,0,0,479,368,320,0,95,22.365187,2.459269,25521.34843485,570.559692,0.180203,37.989574,29.390779,19,9,2,228415,55.002011068303
2012,24355,3,9,0,0,1,20,0,0,475,355,320,0,95,41.277279,2.383888,45389.7899485421,549.815674,0.177206,54.161762,41.902454,19,9,2,228416,98.400410080752
2012,24355,3,10,0,0,1,20,0,0,483,359,342,0,95,21.831112,2.605221,25697.9210572123,588.56189,0.183225,55.967564,43.299519,19,9,2,228417,56.874871435752
2012,24355,3,12,0,0,2,100,0,0,15,0,17,0,8,2078.758057,0,1287.86960911767,0.309769,0.000177,NA,NA,4,0,2,476368,0
2012,24355,3,13,0,0,2,100,0,0,25,0,24,0,8,2078.758057,0,3372.01372824335,0.811065,0.000491,NA,NA,4,0,2,476369,0
2012,24355,4,1,0,0,1,10,0,0,401,313,288,0,54,31.703295,1.603665,23562.771590546,371.613922,0.126293,27.477154,37.218224,11,8,2,228418,50.841464576175
2012,24355,4,8,0,0,1,100,0,0,196,153,232,98,54,132.573883,0.305968,30460.5610155056,114.881454,0.030172,10.381577,14.062004,11,3,2,228420,40.563365833744
2012,24355,4,9,0,0,1,100,0,1,251,196,243,225,54,80.839333,0.538719,32065.4489110978,198.328262,0.049481,16.174294,21.908325,11,5,2,228421,43.549684634427
2012,24355,4,13,0,0,1,100,0,0,527,417,286,31,54,24.488789,3.047012,52292.1379910513,1067.675049,0.218128,66.768509,90.438965,11,10,2,228423,74.617633948468
2012,24355,4,14,0,0,2,100,0,0,10,0,15,0,8,4024.893066,0,1300.50332302059,0.161558,7.9e-05,NA,NA,4,0,2,476371,0
2012,24355,4,15,0,0,2,100,0,0,15,0,17,0,8,1039.379028,0,643.934804249064,0.309769,0.000177,NA,NA,4,0,2,476372,0
2012,24737,1,1,0,0,1,10,0,0,804,581,342,0,130,7.878762,6.49432,24303.1858894832,1542.322632,0.507695,101.850548,74.889664,26,16,2,229967,51.16720163184
2012,24737,1,2,0,0,1,100,0,0,622,494,301,200,90,13.164045,4.582906,41664.1252968603,1582.49707,0.303859,92.487602,68.005188,18,12,2,229968,60.32958081477
2012,24737,1,3,0,0,1,100,0,1,418,330,284,124,90,29.148586,1.847089,38068.8574671906,653.013794,0.137228,42.498474,31.24869,18,8,2,229969,53.840032566154
2012,24737,1,4,0,0,1,100,0,1,239,187,250,89,90,89.160881,0.500994,32758.7192987558,183.705673,0.044863,14.788849,10.874089,18,4,2,229970,44.669066415714
2012,24737,1,5,0,0,1,100,0,0,394,311,281,87,90,32.807842,1.614215,37559.6646460979,572.419006,0.121922,37.906704,27.87241,18,7,2,229971,52.95891067403
2012,24737,1,6,0,0,1,100,0,0,551,442,334,132,130,16.775169,3.955998,45325.6916331893,1350.975708,0.238448,72.864464,53.576488,26,11,2,229972,66.362535013662
2012,24737,1,7,0,0,1,100,0,0,549,436,296,99,130,16.897614,3.451627,40594.7560925357,1201.197876,0.23672,72.346115,53.195354,26,10,2,229973,58.324260717978
2012,24737,1,8,0,0,1,100,0,0,614,483,270,199,130,13.509315,3.974516,37644.2174669982,1393.268921,0.296093,90.157806,66.292107,26,12,2,229974,53.69298861654
2012,24737,1,9,0,0,1,100,0,0,465,368,289,57,130,23.553974,2.359615,39057.6384502277,829.109314,0.169823,52.276936,38.438694,26,9,2,229975,55.57831036001
2012,24737,1,10,0,0,1,20,0,0,521,389,313,0,130,18.762669,2.794298,24564.7106013736,654.616638,0.21319,64.956924,47.762161,26,10,2,229976,52.428488461362
2012,24737,1,11,0,0,1,110,0,1,256,205,216,76,80,77.712364,0.527051,26357.96679763,169.5867,0.051472,21.441431,15.765664,16,5,2,229977,40.958379158564
2012,24737,2,1,0,0,1,110,0,0,549,443,232,116,100,16.897614,2.819221,31411.866165817,929.476379,0.23672,94.61454,107.054939,20,10,2,229978,47.638108238694
2012,24737,2,2,0,0,1,110,0,0,521,420,230,95,100,18.762669,2.49849,30995.7505486284,825.995239,0.21319,85.319962,96.538269,20,10,2,229979,46.87834086981
2012,24737,2,3,0,0,1,20,0,0,527,399,239,0,130,18.337868,2.232783,21175.2434233667,577.363831,0.218128,66.438507,75.174179,26,10,2,229980,40.944479926644
2012,24737,2,4,0,0,1,20,0,0,435,332,225,0,130,26.914827,1.459334,20362.1064798411,378.269318,0.148617,45.585194,51.578968,26,8,2,229981,39.277722145218
2012,24737,2,5,0,0,1,110,0,0,614,497,228,106,100,13.509315,3.537858,31734.7199918121,1174.549561,0.296093,118.066612,133.590622,20,12,2,229982,47.79403814727
2012,24737,2,7,0,0,1,110,0,0,559,452,241,130,100,16.298456,3.044413,32239.9734340254,989.049927,0.245423,98.051918,110.944275,20,11,2,229983,49.619231326328
2012,24737,3,2,0,0,1,10,0,0,642,474,314,0,130,14.832765,4.004869,29219.038780291,984.949158,0.323714,65.974159,101.518784,26,12,2,229984,59.403280732785
2012,24737,3,3,0,0,1,100,0,0,935,745,313,151,130,8.97358,11.653388,68929.5689055805,3840.695068,0.686616,207.31488,319.009033,26,18,2,229985,104.57260948904
2012,24737,3,4,0,0,1,100,0,0,571,455,311,120,130,15.620607,3.951577,42588.795566884,1363.224731,0.256073,78.151772,120.257286,26,11,2,229986,61.726031347239
2012,24737,3,5,0,0,1,100,0,0,566,451,311,171,130,15.897809,3.877834,42549.4261995301,1338.216675,0.251608,76.812271,118.196106,26,11,2,229987,61.649064265706
2012,24737,3,6,0,0,1,100,0,0,616,497,347,108,130,13.421737,5.248227,47655.3386711767,1775.304443,0.298025,90.737419,139.623642,26,12,2,229988,70.440322510299
2012,24737,3,7,0,0,2,100,0,0,10,0,15,0,8,3183.0979,0,1028.5066779585,0.161558,7.9e-05,NA,NA,4,0,2,476835,0
2012,24737,4,1,0,0,1,10,0,0,706,511,293,0,130,10.591632,4.369944,23532.8013839909,1110.914795,0.391472,79.186958,53.240723,26,14,2,229989,46.284838708608
2012,24737,4,2,0,0,1,110,0,0,412,333,282,129,80,30.003761,1.854975,33727.937539074,562.061829,0.133317,53.770191,36.151962,16,8,2,229990,55.656226560975
2012,24737,4,3,0,0,1,110,0,0,853,690,294,226,130,13.19189,9.093555,73473.590475851,2784.801514,0.571464,226.838318,152.512939,26,17,2,229991,119.96117726895
2012,24737,4,4,0,0,1,110,0,0,291,234,254,132,80,60.14286,0.808329,29835.7517830896,248.04068,0.066508,27.380842,18.409292,16,5,2,229992,48.61521788094
2012,24737,4,5,0,0,1,20,0,0,564,427,230,0,130,16.010757,2.453646,20654.9123779456,645.032349,0.249833,75.949776,51.064228,26,11,2,229993,39.284729870022
2012,24737,4,6,0,0,1,110,0,0,388,313,270,79,80,33.83036,1.566025,32554.6618143056,481.14566,0.118237,47.813721,32.147175,16,7,2,229994,52.979189519
2012,24737,4,8,0,0,1,110,0,1,175,140,217,66,80,166.30069,0.237669,23875.8826927843,71.785278,0.024053,10.610885,7.134144,16,3,2,229996,39.52451869161
2012,24737,4,9,0,0,1,110,0,0,342,276,264,84,80,43.542953,1.179092,31544.0550061899,362.217682,0.091864,37.396091,25.142965,16,6,2,229997,51.341147538676
2012,24739,1,7,0,0,1,110,0,2,538,434,232,0,70,19.89345,2.699328,35400.0931478474,889.742432,0.227329,90.905075,109.87133,14,10,2,230002,53.6989466016
