"PJahr","Tnr","Enr","Bnr","PArt","AJahr","Bs","Ba","Kh","Kst","Bhd","D03","Hoe","StHoe","Balter","N_ha","VolR","Biomasse","C","G","Stf","StfM","Alkl5","BhdSt5","Bl","BID","Volumen"
2012,10935,3,1,0,0,1,10,2,0,193,169,122,0,49,136.727371,0.241029,14453.0883343316,52.853676,0.029255,8.554796,7.017403,10,3,10,119032,32.955261504759
2012,10935,3,9,0,0,1,10,0,0,129,116,117,0,49,306.048828,0.080521,14823.6644284045,24.21781,0.01307,5.398619,4.428426,10,2,10,119034,24.643357679388
2012,10935,3,12,0,0,1,10,2,0,184,162,119,0,49,150.430008,0.214335,14299.4779209588,47.528675,0.026591,8.035148,6.59114,10,3,10,119035,32.24241576468
2012,10935,3,13,0,0,1,20,2,0,188,135,128,0,49,144.096832,0.173409,10771.6307117704,37.376362,0.027759,9.327752,7.651449,10,3,10,119036,24.987687540288
2012,10935,3,15,0,0,1,10,1,0,175,150,144,0,49,166.30069,0.193218,15461.8051560438,46.487495,0.024053,7.540311,6.185232,10,3,10,119037,32.13228672042
2012,10935,3,17,0,0,1,10,1,0,197,166,153,0,49,131.231369,0.253709,15755.914141709,60.031052,0.030481,8.793715,7.213385,10,3,10,119039,33.294579397621
2012,10935,3,18,0,0,1,10,0,0,167,144,172,0,49,182.615326,0.192157,17410.4650127119,47.669781,0.021904,7.121284,5.841509,10,3,10,119040,35.090813198182
2012,11201,1,1,0,0,1,20,0,0,541,423,290,0,83,17.977301,2.987777,25886.7384899594,719.984009,0.229872,69.961502,187.560898,17,10,10,121382,53.712166449877
2012,11201,1,2,0,0,1,20,0,0,513,385,289,0,83,19.909052,2.526153,24210.5081627575,608.027649,0.206693,63.007877,168.918808,17,10,10,121383,50.293311436956
2012,11201,1,3,0,0,1,20,0,0,551,400,300,0,83,16.790953,2.87288,22983.7811362672,684.409668,0.238448,72.534462,194.458786,17,11,10,121384,48.23839305464
2012,11201,2,1,0,0,1,20,2,0,455,380,161,0,93,24.600691,1.713058,18999.1313717975,386.15036,0.162597,49.779232,81.985085,19,9,10,121385,42.142410523078
2012,11201,2,2,0,0,1,20,0,0,523,380,290,0,93,18.619444,2.512746,22488.7881199613,603.906006,0.21483,65.448898,107.792603,19,10,10,121386,46.785933433224
2012,11201,2,4,0,0,1,20,0,0,444,310,240,0,93,25.834743,1.434473,18529.0879611536,358.607941,0.154831,47.449184,78.147552,19,8,10,121388,37.059241295439
2012,11201,2,5,0,0,1,10,0,0,718,391,280,0,93,9.879188,3.022563,14925.5560959578,755.403992,0.404893,81.804039,134.729095,19,14,10,121389,29.860468118844
2012,11201,4,6,0,0,1,20,0,0,189,146,195,0,77,142.576035,0.243877,15663.5229689694,54.93042,0.028055,9.416581,7.839623,16,3,10,121401,34.771015687695
2012,11201,4,7,0,0,1,20,0,0,395,310,258,0,77,32.641933,1.440049,22846.0558404219,349.949493,0.122542,37.762611,31.438656,16,7,10,121402,47.005982974717
2012,11201,4,10,0,0,1,20,0,0,355,270,251,0,77,40.412285,1.084839,20951.5177979184,259.222137,0.09898,30.69401,25.553804,16,7,10,121405,43.840822847115
2012,11201,4,13,0,0,2,100,0,0,25,0,23,0,7,2078.758057,0,3372.01372824335,0.811065,0.000491,NA,NA,4,0,10,449722,0
2012,11201,4,14,0,0,2,100,0,0,55,0,55,0,16,1039.379028,0,8871.51367683314,4.267699,0.002376,NA,NA,4,1,10,449723,0
2012,11202,1,3,0,0,1,110,0,0,376,303,335,39,116,36.024208,1.798846,36499.0309815141,506.590332,0.111037,44.969494,33.547485,24,7,10,121408,64.802002463968
2012,11202,1,5,0,0,1,110,0,0,390,331,270,136,116,33.484276,1.700515,34794.6425918018,519.566895,0.119459,48.296432,36.0294,24,7,10,121410,56.94051360214
2012,11202,1,6,0,0,1,110,0,0,426,343,343,130,116,28.064087,2.381972,37621.4399404072,670.277283,0.142531,57.409843,42.828053,24,8,10,121411,66.847869439564
2012,11202,1,8,0,0,1,110,0,0,475,419,394,180,116,22.572668,3.906629,45755.1782951651,1013.508423,0.177206,71.106316,53.045696,24,9,10,121413,88.183039416172
2012,11202,1,9,0,0,1,100,0,-999,99,77,181,59,25,519.636597,0.043823,16862.2912341421,16.22508,0.007698,3.639312,2.714947,5,1,10,121414,22.772034590331
2012,11202,1,10,0,0,1,110,0,-999,356,287,332,142,110,40.18557,1.593194,36030.346738884,448.299561,0.099538,40.427689,30.159275,22,7,10,121415,64.02340901058
2012,11202,1,11,0,0,2,100,0,0,25,0,23,0,7,2078.758057,0,3372.01372824335,0.811065,0.000491,NA,NA,4,0,10,449724,0
2012,11202,2,8,0,0,1,100,0,1,531,440,371,142,116,18.062632,4.242401,51140.6470741191,1415.647705,0.221452,67.765656,52.795551,24,10,10,121419,76.628928059432
