"PJahr","Tnr","Enr","Bnr","PArt","AJahr","Bs","Ba","Kh","Kst","Bhd","D03","Hoe","StHoe","Balter","N_ha","VolR","Biomasse","C","G","Stf","StfM","Alkl5","BhdSt5","Bl","BID","Volumen"
2012,24136,1,1,0,0,1,20,0,0,418,319,227,0,153,29.368868,1.361153,20518.3452354636,349.32135,0.137228,42.168468,32.097561,31,8,1,227650,39.975522784804
2012,24136,1,2,0,0,1,20,0,0,448,341,232,0,153,27.757626,1.588298,22689.5517635506,408.708435,0.157633,48.289879,36.757023,31,8,1,227651,44.087381860548
2012,24136,1,3,0,0,1,20,0,0,428,247,242,0,153,27.802418,1.062642,13724.671958623,246.82515,0.143873,44.161808,33.614841,31,8,1,227652,29.544017068356
2012,24136,1,5,0,0,1,110,0,3,569,460,233,126,153,15.730609,3.062664,31713.6067178803,1008.022217,0.254282,101.551346,77.298294,31,11,1,227653,48.177569882376
2012,24136,1,7,0,0,1,20,0,0,386,234,205,0,153,34.181843,0.789972,13111.0494314519,191.783829,0.117021,36.106438,27.483297,31,7,1,227655,27.002698878396
2012,24136,1,8,0,0,1,110,0,3,548,443,231,125,153,18.71542,2.803669,34638.4065823785,925.397522,0.235859,94.2742,71.759117,31,10,1,227656,52.47184287598
2012,24136,1,9,0,0,1,20,0,0,435,331,230,0,153,37.738293,1.485476,28813.2396900634,381.750702,0.148617,45.585194,34.698284,31,8,1,227657,56.059328532468
2012,24136,1,10,0,0,1,20,0,2,424,323,228,0,153,32.503788,1.402511,23411.6607335977,360.137421,0.141196,43.358818,33.003624,31,8,1,227658,45.586920211668
2012,24136,2,9,0,0,1,10,0,0,349,260,265,0,65,57.828335,1.051557,28021.3066818503,242.280075,0.095663,21.504189,18.610861,13,6,1,227663,60.809790467595
2012,24136,2,10,0,0,1,10,0,0,281,227,246,0,65,99.480843,0.716157,32254.51087575,162.114182,0.062016,14.943113,12.93256,13,5,1,227664,71.243902080351
2012,24136,2,12,0,0,1,10,0,0,192,161,207,0,65,138.313507,0.296336,18868.3020660844,68.208458,0.028953,8.495832,7.352743,13,3,1,227666,40.987271410352
2012,24136,2,13,0,0,1,10,0,0,360,283,267,0,65,40.707909,1.21661,23007.7181089284,282.595184,0.101788,22.698631,19.644594,13,7,1,227667,49.52564916849
2012,24136,3,11,0,0,1,100,0,1,206,128,238,143,40,120.015045,0.257593,27321.7172308846,113.826218,0.033329,11.32877,17.030102,8,4,1,227675,30.915035486685
2012,24136,3,7,0,0,2,100,0,1,87,69,133,41,40,672.870667,0.020595,16166.8414686889,12.013335,0.005945,NA,NA,8,1,1,227672,13.857771386865
2012,24136,3,10,0,0,2,100,0,1,91,64,137,94,40,615.017334,0.019735,16398.0079108258,13.331338,0.006504,NA,NA,8,1,1,227674,12.13736708649
2012,24136,3,12,0,0,2,100,0,0,25,0,26,0,8,1039.379028,0,1686.00686331061,0.811065,0.000491,NA,NA,4,0,1,476152,0
2012,24136,3,2,0,0,3,100,0,0,682,534,300,94,164,10.949679,5.466263,41153.3072348126,1879.201538,0.365308,NA,NA,33,13,1,227669,59.853825179577
2012,24136,4,1,0,0,1,20,0,0,378,270,245,0,65,35.644009,1.099109,18932.2684015461,265.574341,0.112221,34.666325,29.729288,13,7,1,227676,39.176651087981
2012,24136,4,10,0,0,1,20,0,0,437,330,273,0,65,26.669031,1.758311,22629.7829285844,424.270813,0.149987,45.996117,39.445541,13,8,1,227677,46.892450566641
2012,24136,4,11,0,0,1,20,0,0,287,226,266,0,65,61.831009,0.792549,21821.8911291395,176.463974,0.064693,20.407782,17.501389,13,5,1,227678,49.004104351941
2012,24136,4,12,0,0,1,20,0,0,307,235,245,0,65,54.037262,0.80146,20156.4313712915,186.504929,0.074023,23.206949,19.901913,13,6,1,227679,43.30870400252
2012,24136,4,13,0,0,1,20,0,0,314,240,247,0,65,51.654812,0.843162,20324.4376725595,196.733246,0.077437,24.23119,20.780285,13,6,1,227680,43.553374595544
2012,24136,4,14,0,0,1,20,0,0,318,243,248,0,65,50.363499,0.867797,20431.2164355414,202.83754,0.079423,24.826834,21.291098,13,6,1,227681,43.705293341703
2012,24136,4,15,0,0,1,20,0,0,309,236,246,0,65,53.340023,0.81256,20168.5938813353,189.056854,0.074991,23.497231,20.15085,13,6,1,227682,43.34196908888
2012,24136,4,17,0,0,1,20,0,0,410,311,268,0,65,30.297192,1.53248,22324.9844654944,368.433228,0.132026,40.607719,34.824535,13,8,1,227684,46.42984079616
2012,24136,4,18,0,0,2,100,0,0,15,0,18,0,8,1039.379028,0,643.934804249064,0.309769,0.000177,NA,NA,4,0,1,476153,0
